CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
CUST_249,58,Female,Month-to-month,50.95,3617.45,No,No,71,Yes,Bank transfer,No
CUST_1890,22,Female,One year,47.01,235.05,Yes,Fiber optic,5,Yes,Electronic check,Yes
CUST_1614,62,Female,Month-to-month,22.58,0.0,Yes,Fiber optic,0,Yes,Bank transfer,No
CUST_2869,42,Male,Month-to-month,55.08,110.16,No,Fiber optic,2,No,Bank transfer,No
CUST_3770,66,Male,One year,43.12,474.32,Yes,DSL,11,Yes,Bank transfer,Yes
CUST_4380,33,Female,Month-to-month,38.18,2443.52,Yes,Fiber optic,64,Yes,Electronic check,No
CUST_259,56,Male,Month-to-month,28.88,693.12,Yes,DSL,24,Yes,Electronic check,Yes
CUST_3798,34,Female,One year,54.37,2609.76,Yes,No,48,Yes,Bank transfer,No
CUST_4226,66,Male,One year,56.02,1176.42,Yes,No,21,Yes,Credit card,No
CUST_2826,27,Male,Month-to-month,59.98,3418.86,Yes,Fiber optic,57,Yes,Credit card,No
CUST_589,38,Male,Month-to-month,54.73,1532.44,No,DSL,28,Yes,Electronic check,No
CUST_2464,61,Female,One year,49.35,2862.3,No,Fiber optic,58,Yes,Credit card,No
CUST_1913,34,Female,Month-to-month,66.99,2679.6,No,Fiber optic,40,No,Credit card,No
CUST_3831,27,Male,Month-to-month,108.67,1738.72,No,Fiber optic,16,Yes,Electronic check,No
CUST_2672,24,Female,Month-to-month,48.11,673.54,No,DSL,14,Yes,Credit card,No
CUST_2195,38,Female,Two year,20.34,711.9,Yes,Fiber optic,35,Yes,Electronic check,No
CUST_3940,67,Male,Month-to-month,100.35,5017.5,Yes,Fiber optic,50,No,Mailed check,No
CUST_2982,46,Male,Two year,114.18,7307.52,Yes,DSL,64,Yes,Bank transfer,No
CUST_2912,62,Female,One year,70.21,4493.44,No,DSL,64,Yes,Credit card,No
CUST_4057,21,Male,One year,73.71,1253.07,Yes,Fiber optic,17,Yes,Credit card,No
CUST_4152,64,Female,Month-to-month,103.81,1868.58,Yes,Fiber optic,18,Yes,Bank transfer,No
CUST_3879,62,Male,Two year,60.46,2055.64,Yes,Fiber optic,34,Yes,Bank transfer,No
CUST_2698,62,Female,Month-to-month,100.84,2117.64,No,No,21,Yes,Mailed check,No
CUST_3890,50,Female,Two year,26.07,599.61,No,Fiber optic,23,No,Mailed check,No
CUST_3404,55,Male,One year,89.11,4188.17,No,No,47,Yes,Mailed check,No
CUST_2404,25,Male,Month-to-month,49.4,1580.8,Yes,Fiber optic,32,No,Credit card,No
CUST_4509,40,Male,Month-to-month,29.23,350.76,No,DSL,12,No,Mailed check,Yes
CUST_2618,36,Female,Month-to-month,45.2,2079.2,No,DSL,46,Yes,Credit card,No
CUST_3583,37,Male,Month-to-month,54.68,1367.0,No,Fiber optic,25,No,Bank transfer,No
CUST_2568,58,Female,Month-to-month,117.7,941.6,No,No,8,Yes,Mailed check,No
CUST_2431,24,Male,Month-to-month,87.77,4476.27,Yes,DSL,51,Yes,Electronic check,No
CUST_2483,49,Female,One year,62.76,4518.72,No,DSL,72,Yes,Electronic check,Yes
CUST_2898,41,Male,One year,101.42,304.26,Yes,DSL,3,Yes,Bank transfer,Yes
CUST_3032,51,Male,Month-to-month,69.17,1936.76,No,DSL,28,Yes,Credit card,Yes
CUST_322,20,Female,Month-to-month,90.58,905.8,No,Fiber optic,10,No,Credit card,No
CUST_1238,34,Male,Two year,72.2,1660.6,No,No,23,Yes,Electronic check,No
CUST_4242,59,Male,One year,61.77,3088.5,Yes,No,50,Yes,Mailed check,No
CUST_148,67,Male,Two year,36.53,2337.92,No,DSL,64,Yes,Mailed check,No
CUST_391,30,Female,Month-to-month,53.62,1876.7,No,No,35,No,Bank transfer,No
CUST_3895,34,Female,Month-to-month,89.56,3940.64,No,Fiber optic,44,No,Electronic check,No
CUST_4508,56,Male,Month-to-month,24.71,1433.18,No,No,58,Yes,Bank transfer,No
CUST_3260,20,Female,Month-to-month,90.96,1637.28,No,Fiber optic,18,Yes,Credit card,No
CUST_1627,37,Male,Month-to-month,117.85,6717.45,No,No,57,No,Credit card,No
CUST_2236,56,Male,One year,90.82,4177.72,Yes,Fiber optic,46,Yes,Bank transfer,No
CUST_3697,48,Female,Month-to-month,101.61,6604.65,Yes,DSL,65,No,Credit card,No
CUST_1753,59,Female,Month-to-month,92.84,4734.84,No,DSL,51,Yes,Electronic check,Yes
CUST_383,53,Female,Month-to-month,47.26,283.56,No,Fiber optic,6,Yes,Credit card,No
CUST_1924,65,Male,One year,81.33,5855.76,No,No,72,Yes,Electronic check,No
CUST_2975,21,Female,Month-to-month,58.67,2229.46,No,Fiber optic,38,Yes,Credit card,No
CUST_807,58,Male,Two year,117.7,8474.4,Yes,Fiber optic,72,Yes,Credit card,Yes
CUST_3555,42,Male,Month-to-month,110.47,4971.15,Yes,No,45,Yes,Credit card,Yes
CUST_3609,40,Male,Month-to-month,37.38,523.32,No,DSL,14,Yes,Electronic check,Yes
CUST_2083,52,Female,Month-to-month,107.32,7083.12,No,Fiber optic,66,Yes,Electronic check,No
CUST_3171,68,Male,Month-to-month,95.4,6296.4,Yes,No,66,No,Bank transfer,Yes
CUST_3982,36,Female,Month-to-month,112.87,225.74,No,Fiber optic,2,No,Bank transfer,No
CUST_4784,42,Male,Month-to-month,80.55,2899.8,No,Fiber optic,36,No,Credit card,Yes
CUST_4840,18,Male,Two year,79.56,1432.08,No,No,18,Yes,Credit card,Yes
CUST_3615,42,Male,Month-to-month,41.33,2810.44,No,DSL,68,Yes,Electronic check,No
CUST_3465,45,Male,Month-to-month,96.55,1448.25,Yes,Fiber optic,15,Yes,Bank transfer,No
CUST_4132,61,Male,One year,84.64,5163.04,Yes,DSL,61,Yes,Mailed check,No
CUST_3039,34,Female,Month-to-month,36.39,2547.3,Yes,DSL,70,Yes,Electronic check,No
CUST_1662,60,Male,Two year,70.21,0.0,Yes,DSL,0,No,Credit card,No
CUST_1520,31,Female,One year,41.5,1369.5,No,No,33,No,Credit card,No
CUST_2914,44,Male,Month-to-month,59.51,416.57,No,Fiber optic,7,No,Credit card,No
CUST_1011,42,Male,One year,61.79,1235.8,No,No,20,No,Electronic check,No
CUST_328,31,Male,Month-to-month,50.18,250.9,No,DSL,5,Yes,Mailed check,No
CUST_3791,60,Female,One year,58.18,3898.06,Yes,Fiber optic,67,Yes,Credit card,No
CUST_1967,62,Male,Two year,38.02,2395.26,No,DSL,63,Yes,Credit card,No
CUST_4653,70,Male,Month-to-month,62.08,3041.92,No,No,49,Yes,Electronic check,No
CUST_3520,55,Female,Month-to-month,32.89,855.14,Yes,Fiber optic,26,Yes,Mailed check,No
CUST_1354,42,Male,Month-to-month,28.38,1702.8,Yes,Fiber optic,60,Yes,Bank transfer,No
CUST_1387,21,Male,Two year,21.31,639.3,Yes,No,30,Yes,Electronic check,No
CUST_4926,23,Female,Month-to-month,63.53,3240.03,No,DSL,51,Yes,Electronic check,No
CUST_4540,58,Male,Month-to-month,77.19,3627.93,No,DSL,47,No,Mailed check,No
CUST_2366,20,Female,Two year,40.43,1010.75,Yes,Fiber optic,25,Yes,Electronic check,No
CUST_3156,52,Female,Two year,95.96,5373.76,No,No,56,Yes,Mailed check,No
CUST_1309,46,Male,Two year,84.06,3194.28,No,DSL,38,No,Bank transfer,Yes
CUST_4315,30,Male,Month-to-month,112.61,7995.31,Yes,Fiber optic,71,Yes,Bank transfer,No
CUST_3188,29,Female,Month-to-month,40.1,1162.9,No,DSL,29,Yes,Electronic check,Yes
CUST_3938,51,Male,One year,51.03,3316.95,No,DSL,65,No,Electronic check,No
CUST_4069,43,Male,One year,103.51,5589.54,Yes,No,54,Yes,Mailed check,No
CUST_577,62,Male,Two year,89.93,2967.69,No,DSL,33,Yes,Bank transfer,No
CUST_1719,56,Male,Month-to-month,103.03,1236.36,Yes,DSL,12,Yes,Credit card,No
CUST_4110,38,Female,One year,67.81,2102.11,No,DSL,31,Yes,Bank transfer,Yes
CUST_3241,27,Male,Month-to-month,72.99,5109.3,No,DSL,70,Yes,Mailed check,No
CUST_2166,48,Male,Month-to-month,94.97,1139.64,Yes,Fiber optic,12,Yes,Electronic check,Yes
CUST_1402,23,Female,Month-to-month,79.5,3180.0,No,No,40,Yes,Bank transfer,No
CUST_3317,62,Male,Month-to-month,20.28,141.96,No,Fiber optic,7,Yes,Mailed check,No
CUST_506,58,Male,One year,37.63,1279.42,Yes,DSL,34,Yes,Credit card,No
CUST_4628,21,Female,Month-to-month,46.27,2776.2,No,Fiber optic,60,Yes,Bank transfer,No
CUST_3937,35,Male,Month-to-month,63.97,3134.53,No,DSL,49,Yes,Credit card,Yes
