CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,ContractTypeEncoded,IsSenior,HasTechSupport,Contract_TechSupport,AvgCharges_Tenure,LogMonthlyCharges,LogTotalCharges
CUST_249,58,Female,Month-to-month,50.95,3617.45,No,No,71,Yes,Bank transfer,No,50.949999999999996,1,0,0,0,3617.45,3.9502817175452365,8.193801036330377
CUST_1890,22,Female,One year,47.01,235.05,Yes,Fiber optic,5,Yes,Electronic check,Yes,47.010000000000005,2,0,1,2,235.05,3.8714093225428488,5.4640436469922955
CUST_1614,62,Female,Month-to-month,22.58,0.0,Yes,Fiber optic,0,Yes,Bank transfer,No,0.0,1,1,1,1,0.0,3.160398895109225,0.0
CUST_2869,42,Male,Month-to-month,55.08,110.16,No,Fiber optic,2,No,Bank transfer,No,55.08,1,0,0,0,110.16,4.0267792427263345,4.710970604874303
CUST_3770,66,Male,One year,43.12,474.32,Yes,DSL,11,Yes,Bank transfer,Yes,43.12,2,1,1,2,474.32,3.7869131943853014,6.163988261421825
CUST_4380,33,Female,Month-to-month,38.18,2443.52,Yes,Fiber optic,64,Yes,Electronic check,No,38.18,1,0,1,1,2443.52,3.6681664125163946,7.801604063617466
CUST_259,56,Male,Month-to-month,28.88,693.12,Yes,DSL,24,Yes,Electronic check,Yes,28.88,1,0,1,1,693.12,3.3971893602646164,6.542644856222303
CUST_3798,34,Female,One year,54.37,2609.76,Yes,No,48,Yes,Bank transfer,No,54.370000000000005,2,0,1,2,2609.76,4.014037930834876,7.867396645669281
CUST_4226,66,Male,One year,56.02,1176.42,Yes,No,21,Yes,Credit card,No,56.02,2,1,1,2,1176.42,4.0434020834845255,7.071080883030492
CUST_2826,27,Male,Month-to-month,59.98,3418.86,Yes,Fiber optic,57,Yes,Credit card,No,59.980000000000004,1,0,1,1,3418.86,4.110545941560108,8.137354893546249
